a,c,vs,es
"(:Agreement {agreement_id: MASTER SERVICES AGREEMENT, name: MASTER SERVICES AGREEMENT, type: Master Service Agreement, auto_renewal: false})","(:Clause {excerpts: [You indemnify and will keep us and our Affiliates indemnified against any loss, cost, expense, damage or other liability (including legal costs on a solicitor/client basis) (Loss) arising out of: your breach of this Agreement; any claim or demand against us (including for negligence) by any person other than you, which arises from or is connected with your use of the Services or Equipment.], draft_p25_delta: [], obligor: Customer, title: Indemnity, external_inference_used: false, clause_order: 2, right_holder: Comms Group, confidence_overall: 0.0, dependencies: [], agreement_id: MASTER SERVICES AGREEMENT, clause_id: 21, defaults_applied: [], draft_p75_delta: [], page_refs: [], source_document_id: Comms Group Global MSA V1.0 December 2022})",[],[]
"(:Agreement {agreement_id: Master Services Agreement, agreement_date: 2023-04-18, name: Master Services Agreement, effective_date: 2023-04-18, renewal_term: up to two additional two-year terms, type: Master Service Agreement, expiration_date: 2024-08-31, auto_renewal: false, notice_period_to_terminate_renewal: 30 days})","(:Clause {excerpts: [], draft_p25_delta: [], obligor: Each Party, title: Confidentiality, external_inference_used: false, clause_order: 2, right_holder: Each Party, confidence_overall: 0.0, dependencies: [], agreement_id: Master Services Agreement, clause_id: 6, defaults_applied: [], draft_p75_delta: [], page_refs: [], source_document_id: contract_1})",[],[]
"(:Agreement {agreement_id: Master Services Agreement, agreement_date: 2023-04-18, name: Master Services Agreement, effective_date: 2023-04-18, renewal_term: up to two additional two-year terms, type: Master Service Agreement, expiration_date: 2024-08-31, auto_renewal: false, notice_period_to_terminate_renewal: 30 days})","(:Clause {excerpts: [], draft_p25_delta: [], obligor: Each Party, title: Data Breach Notification, external_inference_used: false, clause_order: 3, right_holder: Each Party, confidence_overall: 0.0, dependencies: [], agreement_id: Master Services Agreement, clause_id: 7, defaults_applied: [], draft_p75_delta: [], page_refs: [], source_document_id: contract_1})",[],[]
"(:Agreement {agreement_id: Master Services Agreement, agreement_date: 2023-04-18, name: Master Services Agreement, effective_date: 2023-04-18, renewal_term: up to two additional two-year terms, type: Master Service Agreement, expiration_date: 2024-08-31, auto_renewal: false, notice_period_to_terminate_renewal: 30 days})","(:Clause {excerpts: [], draft_p25_delta: [], obligor: Each Party, title: Data Protection Compliance, external_inference_used: false, clause_order: 4, right_holder: Each Party, confidence_overall: 0.0, dependencies: [], agreement_id: Master Services Agreement, clause_id: 8, defaults_applied: [], draft_p75_delta: [], page_refs: [], source_document_id: contract_1})",[],[]
"(:Agreement {agreement_id: Master Services Agreement, agreement_date: 2023-04-18, name: Master Services Agreement, effective_date: 2023-04-18, renewal_term: up to two additional two-year terms, type: Master Service Agreement, expiration_date: 2024-08-31, auto_renewal: false, notice_period_to_terminate_renewal: 30 days})","(:Clause {excerpts: [], draft_p25_delta: [], obligor: Each Party, title: Technical & Organisational Measures, external_inference_used: false, clause_order: 5, right_holder: Each Party, confidence_overall: 0.0, dependencies: [], agreement_id: Master Services Agreement, clause_id: 9, defaults_applied: [], draft_p75_delta: [], page_refs: [], source_document_id: contract_1})",[],[]
"(:Agreement {agreement_id: Master Services Agreement, agreement_date: 2023-04-18, name: Master Services Agreement, effective_date: 2023-04-18, renewal_term: up to two additional two-year terms, type: Master Service Agreement, expiration_date: 2024-08-31, auto_renewal: false, notice_period_to_terminate_renewal: 30 days})","(:Clause {excerpts: [], draft_p25_delta: [], obligor: Each Party, title: Marketing & Promotion, external_inference_used: false, clause_order: 6, right_holder: Each Party, confidence_overall: 0.0, dependencies: [], agreement_id: Master Services Agreement, clause_id: 10, defaults_applied: [], draft_p75_delta: [], page_refs: [], source_document_id: contract_1})",[],[]
"(:Agreement {agreement_id: Master Services Agreement, agreement_date: 2023-04-18, name: Master Services Agreement, effective_date: 2023-04-18, renewal_term: up to two additional two-year terms, type: Master Service Agreement, expiration_date: 2024-08-31, auto_renewal: false, notice_period_to_terminate_renewal: 30 days})","(:Clause {excerpts: [A. Default of Respondent – A&M System shall have the right to terminate this Agreement without penalty after a 15-day written notice of termination in the event: a. PROVIDER disregards or violates material provisions of this Agreement or A&M System instructions; or fails to execute the work of a specific engagement according to the agreed upon schedule of completion and/or time of completion specified, including extensions thereof, or fails to reach agreed upon performance results. b. PROVIDER declares bankruptcy, becomes insolvent, or assigns company assets for the benefit of creditors., B. For Convenience – A&M System shall have the right to terminate this Agreement at any time upon thirty (30) days prior notice to PROVIDER.], draft_p25_delta: [], obligor: PROVIDER, title: Default and Termination, external_inference_used: false, clause_order: 1, right_holder: A&M System, confidence_overall: 0.0, dependencies: [], agreement_id: Master Services Agreement, clause_id: 4, defaults_applied: [], draft_p75_delta: [], page_refs: [], source_document_id: contract_1})",[],[]
"(:Agreement {agreement_id: Master Services Agreement, agreement_date: 2023-04-18, name: Master Services Agreement, effective_date: 2023-04-18, renewal_term: up to two additional two-year terms, type: Master Service Agreement, expiration_date: 2024-08-31, auto_renewal: false, notice_period_to_terminate_renewal: 30 days})","(:Clause {excerpts: [A&M System may terminate this MSA at any time upon thirty (30) days prior notice to Provider.], draft_p25_delta: [], obligor: Provider, title: Termination for Convenience, external_inference_used: false, clause_order: 2, right_holder: A&M System, confidence_overall: 1.0, dependencies: [], agreement_id: Master Services Agreement, clause_id: 5, defaults_applied: [], draft_p75_delta: [], page_refs: [1], source_document_id: contract_001})",[],[]
"(:Agreement {agreement_id: Executed.pdf.json, name: Executed.pdf.json})","(:Clause {excerpts: [In no event shall either party be liable for special, consequential, incidental, indirect or punitive loss, damages or expenses arising out of or relating to this Agreement, whether arising from a breach of contract or warranty, or arising in tort, strict liability, by statute or otherwise, even if it has been advised of their possible existence or if such loss, damages or expenses were reasonably foreseeable.], draft_p25_delta: [], obligor: Each Party, title: Limitation of Liability, external_inference_used: false, clause_order: 2, right_holder: Each Party, confidence_overall: 1.0, dependencies: [], agreement_id: Executed.pdf.json, clause_id: 1, defaults_applied: [], draft_p75_delta: [], page_refs: [], source_document_id: 2023-069})","[
  {
    identity: 32,
    labels: [Variable],
    properties: {
      evidence: Contractor shall defend, indemnify, and hold harmless NCTCOG and Participating Entities, NCTCOG’s affiliates, and any of their respective directors, officers, employees, agents, subcontractors, successors, and assigns from any and all suits, actions, claims, demands, judgments, liabilities, losses, damages, costs, and expenses (including reasonable attorneys’ fees and court costs) (collectively, “Losses”) arising out of or relating to: (i) Services performed and carried out pursuant to this Agreement; (ii) breach of any obligation, warranty, or representation in this Agreement, (iii) the negligence or willful misconduct of Contractor and/or its employees or subcontractors; or (iv) any infringement, misappropriation, or violation by Contractor and/or its employees or subcontractors of any right of a third party; provided, however, that Contractor shall have no obligation to defend, indemnify, or hold harmless to the extent any Losses are the result of NCTCOG’s or Participating Entities’ gross negligence or willful misconduct.,
      clause_key: Executed.pdf.json:::1,
      confidence: 1.0,
      name: indemnification_scope,
      type: string,
      value: Contractor shall defend, indemnify, and hold harmless NCTCOG and Participating Entities, NCTCOG’s affiliates, and any of their respective directors, officers, employees, agents, subcontractors, successors, and assigns from any and all suits, actions, claims, demands, judgments, liabilities, losses, damages, costs, and expenses (including reasonable attorneys’ fees and court costs) (collectively, “Losses”) arising out of or relating to: (i) Services performed and carried out pursuant to this Agreement; (ii) breach of any obligation, warranty, or representation in this Agreement, (iii) the negligence or willful misconduct of Contractor and/or its employees or subcontractors; or (iv) any infringement, misappropriation, or violation by Contractor and/or its employees or subcontractors of any right of a third party; provided, however, that Contractor shall have no obligation to defend, indemnify, or hold harmless to the extent any Losses are the result of NCTCOG’s or Participating Entities’ gross negligence or willful misconduct.
    },
    elementId: 4:f598c936-3633-4b74-ab5d-07e99aea41f5:32
  },
  {
    identity: 33,
    labels: [Variable],
    properties: {
      evidence: In no event shall either party be liable for special, consequential, incidental, indirect or punitive loss, damages or expenses arising out of or relating to this Agreement, whether arising from a breach of contract or warranty, or arising in tort, strict liability, by statute or otherwise, even if it has been advised of their possible existence or if such loss, damages or expenses were reasonably foreseeable.,
      clause_key: Executed.pdf.json:::1,
      confidence: 1.0,
      name: liability_cap,
      type: bool,
      value: false
    },
    elementId: 4:f598c936-3633-4b74-ab5d-07e99aea41f5:33
  }
]",[]
"(:Agreement {agreement_id: Executed.pdf.json, name: Executed.pdf.json})","(:Clause {excerpts: [Contractor acknowledges that any information it or its employees, agents, or subcontractors obtain regarding the operation of NCTCOG or Participating Entities, its products, services, policies, customer, personnel, and other aspect of its operation (“Confidential Information”) is proprietary and confidential, and shall not be revealed, sold, exchanged, traded, or disclosed to any person, company, or other entity during the period of the Contractor’s retention hereunder or at any time thereafter without the express written permission of NCTCOG or Participating Entity.], draft_p25_delta: [], obligor: Contractor, title: Confidential Information, external_inference_used: false, clause_order: 3, right_holder: NCTCOG, confidence_overall: 1.0, dependencies: [], agreement_id: Executed.pdf.json, clause_id: 2, defaults_applied: [], draft_p75_delta: [], page_refs: [], source_document_id: 2023-069})","[
  {
    identity: 35,
    labels: [Variable],
    properties: {
      evidence: Contractor acknowledges that any information it or its employees, agents, or subcontractors obtain regarding the operation of NCTCOG or Participating Entities, its products, services, policies, customer, personnel, and other aspect of its operation (“Confidential Information”) is proprietary and confidential, and shall not be revealed, sold, exchanged, traded, or disclosed to any person, company, or other entity during the period of the Contractor’s retention hereunder or at any time thereafter without the express written permission of NCTCOG or Participating Entity.,
      clause_key: Executed.pdf.json:::2,
      confidence: 1.0,
      name: confidentiality_duration,
      type: string,
      value: during the period of the Contractor’s retention hereunder or at any time thereafter
    },
    elementId: 4:f598c936-3633-4b74-ab5d-07e99aea41f5:35
  }
]",[]
"(:Agreement {agreement_id: Amended and Restated Master Services Agreement, agreement_date: 2019-11-21, name: Amended and Restated Master Services Agreement, effective_date: 2019-11-21, renewal_term: one year, type: Master Services Agreement, auto_renewal: true, notice_period_to_terminate_renewal: 90 calendar days})","(:Clause {excerpts: [6.4 The parties acknowledge and agree that conducting the activities and providing the Services contemplated herein may have the incidental eﬀect of providing additional information which may be utilized with respect to, or may augment the value of, business interests and related assets in which any Service Provider or any of its Aﬃliates has an interest and that, subject to compliance with this Agreement, none of the Service Providers or any of their respective Aﬃliates will be liable to account to the Service Recipients with respect to such activities or results.], draft_p25_delta: [], obligor: Each Party, title: Confidentiality, external_inference_used: false, clause_order: 1, right_holder: Each Party, confidence_overall: 1.0, dependencies: [], agreement_id: Amended and Restated Master Services Agreement, clause_id: 1, defaults_applied: [], draft_p75_delta: [], page_refs: [], source_document_id: Exhibit 99.3})","[
  {
    identity: 39,
    labels: [Variable],
    properties: {
      unit: business_days,
      evidence: The relevant member of the Manager Group will release such money or other property to the Service Recipient within a reasonable period of time, but in no event later than 60 days following such request.,
      clause_key: Amended and Restated Master Services Agreement:::1,
      confidence: 1.0,
      name: ci_return_sla_bd,
      type: int,
      value: 60
    },
    elementId: 4:f598c936-3633-4b74-ab5d-07e99aea41f5:39
  }
]",[]
"(:Agreement {agreement_id: Amended and Restated Master Services Agreement, agreement_date: 2019-11-21, name: Amended and Restated Master Services Agreement, effective_date: 2019-11-21, renewal_term: one year, type: Master Services Agreement, auto_renewal: true, notice_period_to_terminate_renewal: 90 calendar days})","(:Clause {excerpts: [USBFS shall exercise reasonable care in the performance of its duties under this Agreement. USBFS shall not be liable for any error of judgment or mistake of law or for any loss suffered by the Adviser and the Funds in connection with matters to which this Agreement relates, including losses resulting from mechanical breakdowns or the failure of communication or power supplies beyond USBFS’s control, except a loss arising out of or relating to USBFS’s refusal or failure to comply with the terms of this Agreement or from bad faith, negligence, or willful misconduct on its part in the performance of its duties under this Agreement.], draft_p25_delta: [], obligor: Each Party, title: Indemnification; Limitation of Liability, external_inference_used: false, clause_order: 1, right_holder: Each Party, confidence_overall: 1.0, dependencies: [], agreement_id: Amended and Restated Master Services Agreement, clause_id: 3, defaults_applied: [], draft_p75_delta: [], draft_p50_full: USBFS shall exercise reasonable care in the performance of its duties under this Agreement. USBFS shall not be liable for any error of judgment or mistake of law or for any loss suffered by the Adviser and the Funds in connection with matters to which this Agreement relates, including losses resulting from mechanical breakdowns or the failure of communication or power supplies beyond USBFS’s control, except a loss arising out of or relating to USBFS’s refusal or failure to comply with the terms of this Agreement or from bad faith, negligence, or willful misconduct on its part in the performance of its duties under this Agreement., page_refs: [], source_document_id: contract_001})","[
  {
    identity: 107,
    labels: [Variable],
    properties: {
      unit: n/a,
      evidence: USBFS shall exercise reasonable care in the performance of its duties under this Agreement. USBFS shall not be liable for any error of judgment or mistake of law or for any loss suffered by the Adviser and the Funds in connection with matters to which this Agreement relates, including losses resulting from mechanical breakdowns or the failure of communication or power supplies beyond USBFS’s control, except a loss arising out of or relating to USBFS’s refusal or failure to comply with the terms of this Agreement or from bad faith, negligence, or willful misconduct on its part in the performance of its duties under this Agreement.,
      clause_key: Amended and Restated Master Services Agreement:::3,
      confidence: 1.0,
      name: liability_cap,
      type: bool,
      value: false
    },
    elementId: 4:f598c936-3633-4b74-ab5d-07e99aea41f5:107
  }
]",[]
"(:Agreement {agreement_id: Amended and Restated Master Services Agreement, agreement_date: 2019-11-21, name: Amended and Restated Master Services Agreement, effective_date: 2019-11-21, renewal_term: one year, type: Master Services Agreement, auto_renewal: true, notice_period_to_terminate_renewal: 90 calendar days})","(:Clause {excerpts: [USBFS agrees on behalf of itself and its directors, officers, and employees to treat confidentially and as proprietary information of the Funds all records and other information relative to the Funds and prior, present, or potential shareholders of the Funds (and clients of said shareholders), and not to use such records and information for any purpose other than the performance of its responsibilities and duties hereunder, except after prior notification to and approval in writing by the Funds, which approval shall not be unreasonably withheld and may not be withheld where USBFS may be exposed to civil or criminal contempt proceedings for failure to comply, when requested to divulge such information by duly constituted authorities, or when so requested by the Adviser or the Funds.], draft_p25_delta: [], obligor: Each Party, title: Proprietary and Confidential Information, external_inference_used: false, clause_order: 2, right_holder: Each Party, confidence_overall: 1.0, dependencies: [], agreement_id: Amended and Restated Master Services Agreement, clause_id: 4, defaults_applied: [], draft_p75_delta: [], draft_p50_full: USBFS agrees on behalf of itself and its directors, officers, and employees to treat confidentially and as proprietary information of the Funds all records and other information relative to the Funds and prior, present, or potential shareholders of the Funds (and clients of said shareholders), and not to use such records and information for any purpose other than the performance of its responsibilities and duties hereunder, except after prior notification to and approval in writing by the Funds, which approval shall not be unreasonably withheld and may not be withheld where USBFS may be exposed to civil or criminal contempt proceedings for failure to comply, when requested to divulge such information by duly constituted authorities, or when so requested by the Adviser or the Funds., page_refs: [], source_document_id: contract_001})",[],[]
"(:Agreement {agreement_id: Amended and Restated Master Services Agreement, agreement_date: 2019-11-21, name: Amended and Restated Master Services Agreement, effective_date: 2019-11-21, renewal_term: one year, type: Master Services Agreement, auto_renewal: true, notice_period_to_terminate_renewal: 90 calendar days})","(:Clause {excerpts: [This Agreement shall become effective as of the date first written above and will continue in effect for a period of one (1) year (the “Initial Term”). Subsequent to the Initial Term, this Agreement shall renew automatically for subsequent one-year periods.], draft_p25_delta: [], obligor: Each Party, title: Term of Agreement, external_inference_used: false, clause_order: 3, right_holder: Each Party, confidence_overall: 1.0, dependencies: [], agreement_id: Amended and Restated Master Services Agreement, clause_id: 5, defaults_applied: [], draft_p75_delta: [], draft_p50_full: This Agreement shall become effective as of the date first written above and will continue in effect for a period of one (1) year (the “Initial Term”). Subsequent to the Initial Term, this Agreement shall renew automatically for subsequent one-year periods., page_refs: [], source_document_id: contract_001})",[],[]
"(:Agreement {agreement_id: Amended and Restated Master Services Agreement, agreement_date: 2019-11-21, name: Amended and Restated Master Services Agreement, effective_date: 2019-11-21, renewal_term: one year, type: Master Services Agreement, auto_renewal: true, notice_period_to_terminate_renewal: 90 calendar days})","(:Clause {excerpts: [After the Initial Term, this Agreement may be terminated by either party upon giving ninety (90) calendar days prior written notice to the other party or such shorter period as is mutually agreed upon by the parties (a “Regular Termination”). This Agreement may be terminated for cause at any time upon a party’s failure to cure a material breach. In such an instance, the party alleging material breach shall provide to the other party detailed notice identifying the breach and giving twenty (20) business days to cure.], draft_p25_delta: [], obligor: Each Party, title: Termination, external_inference_used: false, clause_order: 4, right_holder: Each Party, confidence_overall: 1.0, dependencies: [], agreement_id: Amended and Restated Master Services Agreement, clause_id: 6, defaults_applied: [], draft_p75_delta: [], draft_p50_full: After the Initial Term, this Agreement may be terminated by either party upon giving ninety (90) calendar days prior written notice to the other party or such shorter period as is mutually agreed upon by the parties (a “Regular Termination”). This Agreement may be terminated for cause at any time upon a party’s failure to cure a material breach. In such an instance, the party alleging material breach shall provide to the other party detailed notice identifying the breach and giving twenty (20) business days to cure., page_refs: [], source_document_id: contract_001})",[],[]
